epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.947,0.89983,2.23984,1.42769,0.40236,0.48237,0.422,0.3261,1.02091,1.79735,1.47706,0.00332248,0.00332248,0.00332248
2,344.371,1.02336,1.94839,1.48315,0.46908,0.42714,0.37707,0.25485,1.25154,2.03467,1.69235,0.00663934,0.00663934,0.00663934
3,445.258,1.25034,2.17887,1.65576,0.71935,0.0537,0.04503,0.02456,2.18323,4.44266,3.12004,0.0099397,0.0099397,0.0099397
4,545.975,1.4004,2.33761,1.73826,0.3127,0.24307,0.15201,0.08732,1.63562,3.11108,2.18285,0.00992575,0.00992575,0.00992575
5,646.816,1.38643,2.30336,1.72324,0.187,0.33773,0.18916,0.11907,1.52462,2.74875,1.94868,0.009901,0.009901,0.009901
6,747.75,1.34406,2.23646,1.68383,0.36378,0.32684,0.24631,0.16817,1.44893,2.44171,1.87537,0.00987625,0.00987625,0.00987625
7,848.812,1.2897,2.16455,1.65256,0.34898,0.29535,0.24502,0.16408,1.31696,2.27122,1.74166,0.0098515,0.0098515,0.0098515
8,949.875,1.25909,2.05289,1.6194,0.35262,0.36368,0.29933,0.20903,1.36485,2.41634,1.77684,0.00982675,0.00982675,0.00982675
9,1051.19,1.23028,2.00615,1.59977,0.26352,0.35273,0.24514,0.16468,1.36791,2.15166,1.78589,0.009802,0.009802,0.009802
10,1164.07,1.19708,1.97631,1.56555,0.36746,0.40799,0.34256,0.25256,1.1942,1.93091,1.62633,0.00977725,0.00977725,0.00977725
11,1383.2,1.1574,1.86803,1.5291,0.52955,0.42579,0.39001,0.2824,1.17486,1.8981,1.59791,0.0097525,0.0097525,0.0097525
12,1593.85,1.14893,1.84914,1.5366,0.33915,0.48843,0.35519,0.26098,1.1381,1.82883,1.58942,0.00972775,0.00972775,0.00972775
13,1822.85,1.15527,1.8376,1.53496,0.59697,0.39953,0.36578,0.25382,1.24665,1.99364,1.6927,0.009703,0.009703,0.009703
14,2051.17,1.13468,1.80111,1.52223,0.43857,0.44527,0.3962,0.29681,1.16141,1.81359,1.6116,0.00967825,0.00967825,0.00967825
15,2280.25,1.08289,1.70795,1.48679,0.58706,0.38394,0.41263,0.30751,1.06501,1.77145,1.51811,0.0096535,0.0096535,0.0096535
16,2508.96,1.07492,1.72441,1.48434,0.45401,0.47433,0.43086,0.31958,1.1249,1.73437,1.5572,0.00962875,0.00962875,0.00962875
17,2737.56,1.06943,1.71062,1.48483,0.51357,0.44092,0.45215,0.32747,1.14511,1.77585,1.63253,0.009604,0.009604,0.009604
18,2966.8,1.04502,1.65251,1.4408,0.44582,0.45743,0.43402,0.31519,1.08913,1.69913,1.54994,0.00957925,0.00957925,0.00957925
19,3194.81,1.04188,1.62775,1.45327,0.57946,0.46272,0.44267,0.33118,1.11842,1.71215,1.55248,0.0095545,0.0095545,0.0095545
20,3423.45,0.99903,1.56691,1.42346,0.52211,0.4987,0.457,0.35091,1.06052,1.56739,1.50009,0.00952975,0.00952975,0.00952975
21,3652.59,1.0036,1.57053,1.4198,0.53415,0.47234,0.48374,0.37354,1.05435,1.58611,1.50851,0.009505,0.009505,0.009505
22,3881.56,0.97958,1.51276,1.41589,0.46982,0.53288,0.49259,0.37177,1.03262,1.56643,1.50569,0.00948025,0.00948025,0.00948025
23,4006.56,0.99297,1.51384,1.41785,0.56095,0.49887,0.51439,0.40575,1.01265,1.50546,1.46822,0.0094555,0.0094555,0.0094555
24,4107.47,0.96906,1.50252,1.39176,0.65576,0.49294,0.50804,0.37878,1.06409,1.60289,1.52387,0.00943075,0.00943075,0.00943075
25,4208.23,0.9752,1.50198,1.41264,0.63462,0.53526,0.53359,0.41558,1.0349,1.51181,1.4733,0.009406,0.009406,0.009406
26,4309.13,0.94805,1.47246,1.38465,0.58716,0.4968,0.51668,0.38976,1.02762,1.49543,1.48358,0.00938125,0.00938125,0.00938125
27,4482.95,0.9582,1.42069,1.38008,0.57591,0.51226,0.53159,0.40926,1.01036,1.4415,1.45673,0.0093565,0.0093565,0.0093565
28,4690.48,0.93899,1.43567,1.36367,0.51457,0.52829,0.51287,0.39466,1.03046,1.46345,1.47212,0.00933175,0.00933175,0.00933175
29,4922.93,0.94355,1.41402,1.3641,0.56149,0.52585,0.52474,0.40786,1.02403,1.46731,1.47106,0.009307,0.009307,0.009307
30,5155.89,0.91107,1.3731,1.35383,0.48626,0.56788,0.53196,0.41299,0.97292,1.43398,1.42376,0.00928225,0.00928225,0.00928225
31,5387.92,0.92943,1.40514,1.37472,0.52087,0.55151,0.50793,0.39009,0.997,1.51394,1.45803,0.0092575,0.0092575,0.0092575
32,5620.14,0.90969,1.36364,1.35517,0.52539,0.56021,0.5448,0.41177,1.00478,1.4658,1.47142,0.00923275,0.00923275,0.00923275
33,5852.53,0.9139,1.33823,1.35142,0.54527,0.59109,0.54912,0.4218,0.97256,1.38126,1.42702,0.009208,0.009208,0.009208
34,6084.86,0.90064,1.31554,1.33814,0.62074,0.52266,0.53704,0.41065,0.98941,1.4378,1.44082,0.00918325,0.00918325,0.00918325
35,6315.97,0.9133,1.35678,1.35583,0.56211,0.56318,0.56513,0.43427,0.98319,1.38352,1.42719,0.0091585,0.0091585,0.0091585
36,6547.42,0.89889,1.31544,1.33611,0.55402,0.57701,0.55408,0.42804,0.98481,1.39233,1.4444,0.00913375,0.00913375,0.00913375
37,6779.74,0.87373,1.29968,1.32177,0.56825,0.56939,0.5657,0.44645,0.97188,1.40422,1.45134,0.009109,0.009109,0.009109
38,7011.8,0.87547,1.2898,1.3217,0.54969,0.59218,0.57541,0.44335,0.99791,1.39947,1.47295,0.00908425,0.00908425,0.00908425
39,7120.21,0.84834,1.25302,1.30411,0.62029,0.60021,0.59705,0.46057,0.92428,1.37284,1.39458,0.0090595,0.0090595,0.0090595
40,7221.06,0.88838,1.2834,1.32837,0.59136,0.59624,0.55558,0.42532,0.97027,1.36737,1.45333,0.00903475,0.00903475,0.00903475
41,7321.85,0.86044,1.23393,1.31231,0.52181,0.55676,0.55334,0.43117,0.96909,1.41958,1.44563,0.00901,0.00901,0.00901
42,7422.66,0.85503,1.24441,1.31703,0.57312,0.57763,0.5858,0.45553,0.9209,1.3415,1.41287,0.00898525,0.00898525,0.00898525
43,7591.31,0.84397,1.22023,1.30195,0.5924,0.57808,0.5794,0.4549,0.96181,1.35746,1.43696,0.0089605,0.0089605,0.0089605
44,7717.56,0.84798,1.22207,1.29085,0.63724,0.5632,0.58406,0.44898,0.94969,1.32389,1.40726,0.00893575,0.00893575,0.00893575
45,7818.21,0.84772,1.21526,1.30727,0.56093,0.5379,0.56654,0.43702,0.95979,1.35157,1.44248,0.008911,0.008911,0.008911
46,7920.12,0.82287,1.20535,1.28456,0.55303,0.5503,0.57417,0.45173,0.93755,1.30985,1.42932,0.00888625,0.00888625,0.00888625
47,8066.21,0.82947,1.179,1.29519,0.55449,0.59112,0.5647,0.44977,0.92388,1.30551,1.42769,0.0088615,0.0088615,0.0088615
48,8231.9,0.83139,1.20393,1.29931,0.56248,0.59659,0.59798,0.46875,0.92529,1.29548,1.39017,0.00883675,0.00883675,0.00883675
49,8332.97,0.82691,1.18307,1.27905,0.57023,0.58604,0.58269,0.45769,0.91038,1.30527,1.39226,0.008812,0.008812,0.008812
50,8433.63,0.81016,1.14097,1.26933,0.54428,0.65591,0.5853,0.44599,0.95286,1.29692,1.44466,0.00878725,0.00878725,0.00878725
51,8534.37,0.81491,1.13925,1.28043,0.60177,0.59693,0.58961,0.46069,0.92323,1.30123,1.403,0.0087625,0.0087625,0.0087625
52,8635.03,0.80234,1.11937,1.2704,0.6252,0.59715,0.56631,0.42855,0.94263,1.36577,1.40266,0.00873775,0.00873775,0.00873775
53,8735.74,0.80504,1.13883,1.27881,0.54199,0.6021,0.58248,0.45409,0.90647,1.32631,1.40752,0.008713,0.008713,0.008713
54,8836.33,0.80176,1.12357,1.27267,0.59773,0.56029,0.58187,0.45128,0.92707,1.32597,1.41745,0.00868825,0.00868825,0.00868825
55,8936.82,0.78948,1.10504,1.2585,0.61955,0.58882,0.59688,0.46189,0.95012,1.30405,1.42507,0.0086635,0.0086635,0.0086635
